State,electricity_fixed_charge,electricity_marginal_rate,natural_gas_fixed_charge,natural_gas_marginal_rate,propane_fixed_charge,propane_marginal_rate,fuel_oil_fixed_charge,fuel_oil_marginal_rate,wood_fixed_charge,wood_marginal_rate
AK,13.8,0.2150630,4.95,1.058096089,0,8.11000,0,6.5800,0,0
AL,13.8,0.1338481,14,1.466099897,0,3.46754,0,3.7418,0,0
AR,13.8,0.1093620,13.24,1.416042199,0,2.53885,0,3.7418,0,0
AZ,13.8,0.1271507,10.8,1.491501436,0,2.63277,0,3.7418,0,0
CA,13.8,0.2669714,4.95,1.964713414,0,2.63277,0,3.7418,0,0
CO,13.8,0.1221238,10.8,0.97273477,0,2.30438,0,3.7418,0,0
CT,13.8,0.2784855,13.5,1.621992584,0,3.96708,0,3.6589,0,0
DC,13.8,0.1426041,10,1.443628661,0,3.39023,0,3.8010,0,0
DE,13.8,0.1415845,10,1.492142732,0,3.81977,0,4.0163,0,0
FL,13.8,0.1396054,10,1.863660544,0,4.75162,0,3.5265,0,0
GA,13.8,0.1235655,10,1.65263025,0,3.17892,0,3.5265,0,0
HI,13.8,0.3964894,4.95,4.83842304,0,2.63277,0,3.7418,0,0
IA,13.8,0.1167617,13.16,0.890533801,0,1.64223,0,2.8973,0,0
ID,13.8,0.0962352,10.8,0.771145095,0,2.53692,0,3.7418,0,0
IL,13.8,0.1364439,11.38,0.970288774,0,1.95169,0,3.3095,0,0
IN,13.8,0.1336355,11.38,0.924764572,0,2.48515,0,3.2742,0,0
KS,13.8,0.1181680,13.16,1.172535955,0,1.88900,0,3.3095,0,0
KY,13.8,0.1126366,14,1.179455136,0,2.73446,0,2.9673,0,0
LA,13.8,0.1043427,13.24,1.083933273,0,2.94723,0,3.7418,0,0
MA,13.8,0.2714023,13.5,1.837640087,0,3.62338,0,3.8094,0,0
MD,13.8,0.1505437,10,1.476893379,0,3.66608,0,3.8886,0,0
ME,13.8,0.2495719,13.5,1.651841618,0,3.43992,0,3.4862,0,0
MI,13.8,0.1655425,11.38,0.947964437,0,2.27915,0,3.0885,0,0
MN,13.8,0.1289738,13.16,0.95950615,0,2.02138,0,3.4485,0,0
MO,13.8,0.1120145,13.16,1.413705399,0,2.16469,0,3.3095,0,0
MS,13.8,0.1203362,14,1.13368161,0,3.03862,0,3.7418,0,0
MT,13.8,0.1095862,10.8,0.814349384,0,2.22169,0,3.7418,0,0
NC,13.8,0.1153115,10,1.411150918,0,3.40492,0,3.3298,0,0
ND,13.8,0.0971836,13.16,0.757959287,0,1.76146,0,3.3095,0,0
NE,13.8,0.0981520,13.16,1.042071903,0,1.67923,0,2.7468,0,0
NH,13.8,0.2585021,13.5,1.766762896,0,3.68062,0,3.9210,0,0
NJ,13.8,0.1554574,14.6,1.058665829,0,3.74777,0,3.9418,0,0
NM,13.8,0.1175082,10.8,0.914474387,0,2.94723,0,3.7418,0,0
NV,13.8,0.1508842,10.8,1.348805251,0,2.63277,0,3.7418,0,0
NY,13.8,0.1980478,14.6,1.440901216,0,3.48785,0,3.9765,0,0
OH,13.8,0.1367931,11.38,1.138438617,0,2.73415,0,3.5827,0,0
OK,13.8,0.1078868,13.24,1.191737547,0,2.31662,0,3.3095,0,0
OR,13.8,0.1123911,4.95,1.420968081,0,2.63277,0,3.7418,0,0
PA,13.8,0.1635607,14.6,1.250961795,0,3.00485,0,3.4492,0,0
RI,13.8,0.2452624,13.5,1.75104111,0,3.69908,0,3.7682,0,0
SC,13.8,0.1233409,10,1.376099502,0,3.49500,0,3.5265,0,0
SD,13.8,0.1097803,13.16,0.766550977,0,1.90615,0,3.3095,0,0
TN,13.8,0.1094757,14,0.808926492,0,3.25623,0,3.3095,0,0
TX,13.8,0.1326076,13.24,1.274823771,0,2.95962,0,3.7418,0,0
UT,13.8,0.0937927,10.8,1.131644784,0,2.42669,0,3.7418,0,0
VA,13.8,0.1287064,10,1.45183129,0,3.55192,0,3.6812,0,0
VT,13.8,0.1836613,13.5,1.44004766,0,3.72046,0,3.6943,0,0
WA,13.8,0.0957088,4.95,1.413742415,0,2.63277,0,3.7418,0,0
WI,13.8,0.1477890,11.38,0.8619508,0,1.98269,0,3.0191,0,0
WV,13.8,0.1265078,10,1.324122284,0,3.49500,0,3.5265,0,0
WY,13.8,0.0986855,10.8,1.161648985,0,2.33138,0,3.7418,0,0
